criterion,paper_fig6_fig7_case,supplementary_single_notch_deck,applicability_for_exact_numeric_comparison,notes
geometry,"single edge notched tensile specimen, Fig. 6a and tensile crack pattern Fig. 6b","single edge notched square plate, notch along horizontal ligament, top boundary tied to RP","close_qualitative_match","Geometry and crack mode are consistent with tensile Mode I comparison."
material_parameters,"E = 210 kN/mm^2, nu = 0.3","U2 properties E = 210, nu = 0.3","match","Deck line uses `210, 0.3, 1, 1e-07` for displacement element properties."
Gc,"gc = 2.7e-3 kN/mm","phase element property gc = 0.0027","match","Deck line uses `0.015, 0.0027, 1` for lc, gc, thickness."
length_scale,"lc = 0.0075 mm stated for paper single-notch benchmark","lc = 0.015 in supplementary deck","mismatch_or_requires_interpretation","Paper states lc is taken two times larger than smallest element around crack path; supplementary deck uses lc=0.015 and h=0.005."
mesh_size_h_over_l,"published Fig. 7 model uses refined region h = 0.005 mm per text context; lc/h relationship requires selected curve confirmation","supplementary smaller example h = 0.005 mm, lc = 0.015, h/lc = 0.333","requires_curve_label_confirmation","The deck and text agree on smaller supplementary h=0.005, but Fig. 7 curve labels must be matched before quantitative comparison."
element_count,"about 22000 elements for published Fig. 7 study","3930 phase elements plus 3930 displacement elements plus 3930 UMAT visualization elements = 11790 layered elements; about 4000 physical elements","mismatch_for_exact_reference","Paper explicitly says the supplementary tensile test is smaller because large input files were not included."
loading_and_boundary_conditions,"bottom fixed, top side moved in tension","bottom vertical fixed, one bottom node x fixed, one top node x fixed, top tied to RP with RP U2 displacement","close_match","Boundary idealization is consistent with tensile setup."
load_increments,"paper text: tensile case step size reduced to Delta u = 1e-5 mm for final propagation comparison","Step-1 direct static 0.001 over 0.5 with Amp-1 to U2=0.005; Step-2 direct static 0.0001 over 0.2 with Amp-2 reaching U2=0.007","requires_interpretation","Supplementary run uses two-step amplitude and reaches U2 about 0.007 in the frozen run."
curve_label_in_fig7,"different length-scale parameter curves plus Miehe reference symbols","supplementary deck has lc=0.015 and smaller model","not_identified","Exact Fig. 7 curve label corresponding to this deck is not yet identified."
decision,"Fig. 7 is a valid qualitative reference target","supplementary deck is a reproducible smaller baseline","reference_data_insufficient","Use Path 1, Path 2 approximate comparison, or Path 3 qualitative-only supervisor approval."
